Procurar
O relatório 10/01/2014 11:05:08 foi gerado.
Seleção de Campos
   Descrição do CID - Inicia com = infecção
Cód. CID ,Descrição do CID
M463,Infecção (piogênica) do disco intervertebral
J069,Infecção aguda das vias aéreas superiores não especificada
A068,Infecção amebiana de outras localizações
A609,Infecção anogenital não especificada pelo vírus do herpes
N980,Infecção associada à inseminação artificial
A499,Infecção bacteriana não especificada
A749,Infecção causada por clamídias não especificada
P351,Infecção congênita por citomegalovirus
P352,Infecção congênita por vírus do herpes [simples]
A311,Infecção cutânea micobacteriana
A564,Infecção da faringe por clamídias
O860,Infecção da incisão cirúrgica de origem obstétrica
A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
O862,Infecção das vias urinárias subseqüentes ao parto
T874,Infecção de coto da amputação
A563,Infecção do ânus e do reto por clamídias
O910,Infecção do mamilo associada ao parto
O411,Infecção do saco amniótico e das membranas
A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
O080,Infecção do trato genital e dos órgãos pélvicos conseqüente a aborto e gravidez ectópica e molar
N390,Infecção do trato urinário de localização não especificada
T835,"Infecção e reação inflamatória devida à disposit. protético, implante e enxerto no aparelho urinário"
T827,"Infecção e reação inflamatória devida a out. disposit., implantes e enxertos cardíacos e vasculares"
T847,"Infecção e reação inflamatória devida a out. disposit. protét., implantes e enxertos ortop. internos"
T857,"Infecção e reação inflamatória devida a outros dispositivos protét., implantes e enxertos internos"
T846,Infecção e reação inflamatória devidas a dispositivo de fixação interna [qualquer local]
T836,"Infecção e reação inflamatória devidas à dispositivo protético, implante e enxerto no trato genital"
T845,Infecção e reação inflamatória devidas à prótese articular interna
T826,Infecção e reação inflamatórias devidas à prótese valvular cardíaca
A490,Infecção estafilocócica de localização não especificada
A491,Infecção estreptocócica de localização não especificada
A546,Infecção gonocócica do ânus ou do reto
A543,Infecção gonocócica do olho
A544,Infecção gonocócica do sistema músculo-esquelético
A541,"Infecção gonocócica do trato genitur. inferior, com abscesso periuretral ou das glândulas acessórias"
A540,"Infecção gonocócica do trato genitur. inferior, sem abscesso periuretral ou das glândulas acessórias"
A549,Infecção gonocócica não especificada
N743,Infecção gonocócica pélvica feminina
A049,Infecção intestinal bacteriana não especificada
A084,Infecção intestinal devida a vírus não especificado
P392,Infecção intra-amniótica do feto não classificada em outra parte
L089,"Infecção localizada da pele e do tecido subcutâneo, não especificada"
A399,Infecção meningocócica não especificada
A319,Infecção micobacteriana não especificada
B009,Infecção não especificada devida ao vírus do herpes
A819,Infecção não especificada do sistema nervosos central por vírus atípicos
O234,Infecção não especificada do trato urinário na gravidez
A029,Infecção não especificada por salmonela
B669,Infecção não especificada por trematódeo
P394,Infecção neonatal da pele
P393,Infecção neonatal do trato urinário
A923,Infecção pelo vírus West Nile
N744,Infecção pélvica feminina por clamídia
B340,Infecção por adenovírus de localização não especificada
A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
A562,"Infecção por clamídias do trato geniturinário, localização não especificada"
A568,"Infecção por clamídias transmitida por via sexual, de outras localizações"
B342,Infecção por coronavírus de localização não especificada
B341,Infecção por enterovírus de localização não especificada
A043,Infecção por Escherichia Coli enterohemorrágica
A042,Infecção por Escherichia Coli enteroinvasiva
A040,Infecção por Escherichia Coli enteropatogênica
A041,Infecção por Escherichia Coli enterotoxigênica
A699,"Infecção por espiroqueta, não especificada"
A492,Infecção por Haemophilus influenzae de localização não especificada
A493,Infecção por Mycoplasma de localização não especificada
B344,Infecção por papovavírus de localização não especificada
B343,Infecção por parvovírus de localização não especificada
B333,Infecção por retrovírus não classificada em outra parte
T793,Infecção pós-traumática de ferimento não classificada em outra parte
P399,Infecção própria do período perinatal não especificada
O85,INFECCAO PUERPERAL
A310,Infecção pulmonar micobacteriana
T880,Infecção subseqüente à imunização
T814,Infecção subseqüente a procedimento não classificada em outra parte
B349,Infecção viral não especificada
B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
