Transfer Number,Transfer Date,Sending Location,Status
429,23/05/2006,1 - SANFORD WAREHOUSE,2 - Sent
467,26/05/2006,1 - SANFORD WAREHOUSE,2 - Sent
497,29/05/2006,1 - SANFORD WAREHOUSE,2 - Sent
500,29/05/2006,1 - SANFORD WAREHOUSE,3 - Received
502,29/05/2006,3 - ADELAIDE WAREHOUSE,3 - Received
508,29/05/2006,1 - SANFORD WAREHOUSE,2 - Sent
509,29/05/2006,1 - SANFORD WAREHOUSE,2 - Sent
512,29/05/2006,1 - SANFORD WAREHOUSE,2 - Sent
527,02/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
531,05/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
533,07/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
545,13/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
549,13/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
550,13/06/2006,2 - PHILADELPHIA WAREHOUSE,3 - Received
553,13/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
556,16/06/2006,1 - SANFORD WAREHOUSE,3 - Received
557,16/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
558,16/06/2006,2 - PHILADELPHIA WAREHOUSE,3 - Received
560,16/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
562,16/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
572,20/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
573,20/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
574,20/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
577,20/06/2006,1 - SANFORD WAREHOUSE,3 - Received
585,21/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
586,22/06/2006,1 - SANFORD WAREHOUSE,3 - Received
587,22/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
589,22/06/2006,3 - ADELAIDE WAREHOUSE,2 - Sent
590,22/06/2006,1 - SANFORD WAREHOUSE,2 - Sent
591,22/06/2006,1 - SANFORD WAREHOUSE,3 - Received
592,22/06/2006,1 - SANFORD WAREHOUSE,3 - Received
599,26/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
600,26/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
602,26/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
605,26/06/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
639,28/06/2006,1 - SANFORD WAREHOUSE,3 - Received
657,29/06/2006,1 - SANFORD WAREHOUSE,3 - Received
658,29/06/2006,1 - SANFORD WAREHOUSE,3 - Received
660,29/06/2006,1 - SANFORD WAREHOUSE,1 - Firmed
662,29/06/2006,1 - SANFORD WAREHOUSE,0 - Created
663,29/06/2006,1 - SANFORD WAREHOUSE,0 - Created
682,30/06/2006,1 - SANFORD WAREHOUSE,3 - Received
690,03/07/2006,1 - SANFORD WAREHOUSE,3 - Received
691,03/07/2006,1 - SANFORD WAREHOUSE,3 - Received
692,03/07/2006,1 - SANFORD WAREHOUSE,3 - Received
702,03/07/2006,1 - SANFORD WAREHOUSE,0 - Created
704,04/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
705,04/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
706,04/07/2006,1 - SANFORD WAREHOUSE,3 - Received
710,04/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
711,04/07/2006,1 - SANFORD WAREHOUSE,0 - Created
713,04/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
714,04/07/2006,1 - SANFORD WAREHOUSE,0 - Created
722,04/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
724,05/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
726,05/07/2006,3 - ADELAIDE WAREHOUSE,0 - Created
727,06/07/2006,1 - SANFORD WAREHOUSE,0 - Created
729,06/07/2006,1 - SANFORD WAREHOUSE,0 - Created
734,06/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
735,07/07/2006,1 - SANFORD WAREHOUSE,0 - Created
737,07/07/2006,1 - SANFORD WAREHOUSE,3 - Received
740,10/07/2006,1 - SANFORD WAREHOUSE,0 - Created
741,10/07/2006,1 - SANFORD WAREHOUSE,0 - Created
752,10/07/2006,1 - SANFORD WAREHOUSE,3 - Received
753,11/07/2006,1 - SANFORD WAREHOUSE,0 - Created
754,11/07/2006,1 - SANFORD WAREHOUSE,0 - Created
755,11/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
756,11/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
