Application Name,Menu Item Number,Menu Description,Form Name
 <b>Field Selection :</b>
<br>
Application Name - Starts With = Al<br>
<br>
Menu Item Number - Starts With = 01.<br>
AlphaLinc,01.,System,
AlphaLinc,01.01.,Database And System Parameters,
AlphaLinc,01.01.01.,Import New Program Version  ,WWWIN - Import New Program Version  
AlphaLinc,01.01.02.,Edit Program Entitlements,WWW0044 - Edit Program Entitlements
AlphaLinc,01.01.05.,Upload Files  ,WWWUPLO - Upload Files
AlphaLinc,01.01.10.,Recreate Index Keys  ,WWWSORT - Recreate Index Keys  
AlphaLinc,01.01.11.,Manual Jobs  ,WWWMANU - Manual Executes
AlphaLinc,01.01.15.,Summary Background Jobs  ,INBACKJOBS - Summary Background Jobs  
AlphaLinc,01.01.20.,Delete Lock File  ,WWW006 - Delete Lock File  
AlphaLinc,01.01.36.,Edit SQL Lists  ,WWWSQL - Edit SQL Lists  
AlphaLinc,01.01.37.,Execute SQL Lists  ,WWWSQLX - Execute SQL Lists  
AlphaLinc,01.01.40.,Start/Stop Production Planning Process,INPROPJOB2 - Start/Stop Production Planning Process
AlphaLinc,01.01.60.,Export EDI Data,INDMSSEND - Export EDI Data  
AlphaLinc,01.01.61.,Import EDI Data  ,INEDI - Import EDI Data  
AlphaLinc,01.01.62.,EDI Import Error Report  ,INEDIERROR - EDI Import Error Report
AlphaLinc,01.01.70.,Export Items From Item Master Data ,INARTEXSTAMM - Export Items From Item Master Data
AlphaLinc,01.01.72.,Export Item Master Via BMEcat,INBMECAT - Export Item Master Via BMEcat
AlphaLinc,01.01.73.,Launch Import By Import Profile ,WWWIMPOSTART - Start Import By Import Profile 
AlphaLinc,01.01.74.,Load BME Catalog Item Into Item Master,INBMELIEFCATIM - Transfer Imported Item Records 
AlphaLinc,01.01.75.,Start/Stop Mailfetch,INMAILFETCH - Start Mail Fetch 
AlphaLinc,01.01.80.,Edit Item Parts Costs,INAUFSLIST1 - Edit Cost Of Item Parts  
AlphaLinc,01.01.85.,System Protocol,INSYSLOG - System Protocol  
AlphaLinc,01.01.99.,Data Reset,INRESET - Data Reset
AlphaLinc,01.02.,User Parameters,
AlphaLinc,01.02.01.,Edit User Parameters  ,INPARA - Edit User Parameters  
AlphaLinc,01.02.02.,Print User Parameters,INPARAD - Print User Parameters
AlphaLinc,01.03.,Program Parameters,
AlphaLinc,01.03.005.,Edit System Setup,WWWSystemSetup - Edit System Setup
AlphaLinc,01.03.01.,Edit General Parameters  ,INVORG - Edit General Parameters  
AlphaLinc,01.03.02.,Edit Price Calculation For Item Groups  ,INKALK - Edit Item Group Price Calculation 
AlphaLinc,01.03.03.,Edit Price Calculation For Items  ,INKALKART - Edit Item Price Calculation
AlphaLinc,01.03.031.,Edit Price Relations,INKALKPREIS - Edit Price Relations
AlphaLinc,01.03.034.,Round Item Price  ,INARTRUNDUNG - Round Item Price  
AlphaLinc,01.03.038.,Edit Units,COMUnit - Edit Units
AlphaLinc,01.03.04.,Edit Numerator,WWW128 - Edit Numerator
AlphaLinc,01.03.05.,Edit Guarantee Time,INGARANTIE - Edit Guarantee Time
AlphaLinc,01.03.06.,Edit Currencies,WWWWAE - Edit Currencies
AlphaLinc,01.03.08.,Edit Order Confirmation Reminder,INABMERKER - Edit Order Confirmation Reminder
AlphaLinc,01.03.09.,Edit Incoming Goods Flags,INWEMERKER - Edit Incoming Goods Flags
AlphaLinc,01.03.10.,Edit Invoice Flags,INERECHMERKER - Enter/Edit Invoice Flags
AlphaLinc,01.03.11.,Edit Print Parameter,INDRPARA - Edit Print Parameter
AlphaLinc,01.03.12.,Edit HTML Print Forms  ,INDRPARAHTML - Edit HTML Print Forms
AlphaLinc,01.03.125.,Edit Tax Notice Text ,INSTEUERGRUND - Edit Tax Notice Text 
AlphaLinc,01.03.13.,Edit General Trading Terms   ,INGESCH - Edit General Trading Terms 
AlphaLinc,01.03.14.,Edit HTML-Forms,WWWHTML - Edit HTML Forms
AlphaLinc,01.03.30.,Edit Delivery Gates,INANLIEFER - Edit Delivery Gates
AlphaLinc,01.03.31.,Unload Gate  ,INAUSLIEFER - Unload Gate
AlphaLinc,01.03.50.,Edit Intrastat-No.  ,INTRAEINL - Edit Intrastat-No.
AlphaLinc,01.03.62.,Device Definition Barcode Reader,INDEVICE - Device Definition Barcode Reader
AlphaLinc,01.03.70.,Edit Storage ,INLP - Edit Storage
AlphaLinc,01.03.75.,Edit Storage Layout  ,INLPLAYOUT - Edit Location Layout  
AlphaLinc,01.03.77.,Create Storage,INLPGEN - Create Storage
AlphaLinc,01.03.85.,Edit Container Type,INCONTAINERVERW - Edit Container Type  
AlphaLinc,01.03.88.,General Customs Master Data,INZOLLVORG - General Customs Master Data  
AlphaLinc,01.03.90.,Edit Tariff Rate,INZOLLSATZ - Edit Tariff Rate
AlphaLinc,01.03.99.,List Of Important Parameter Settings ,INPARAMETER - List Of Important Parameter Settings 
AlphaLinc,01.04.,General Ledger Specifications,
AlphaLinc,01.04.01.,General Ledger Parameters,INFIBPAR - General Ledger Parameters
AlphaLinc,01.04.02.,Accounting Descriptions,INFIBSA - Account Descriptions
