Idioma,Texto,Texto No.  
 <b>Seleção do Campo</b>
<br>
Idioma - Igual a = EN<br>
<br>
Texto No.   - Inicia com = MED<br>
EN - Inglês,Atenção: Os valores Estoque Local Solicitante e Estoque Local Abastecedor registrados nesse documento são relativos à %1,MED01245
EN - Inglês,Não é possível processar o relatório no momento. Favor entrar em contato com o suporte técnico e tentar mais tarde.,MED01244
EN - Inglês,Não há divergência de solicitação,MED01243
EN - Inglês,Não há divergência de aceite para esta transferência,MED01242
EN - Inglês,Sem Conversao,MED01241
EN - Inglês, - UoM: De = %1 - Para = ,MED01240
EN - Inglês,Depois de zerar,MED01239
EN - Inglês,Antes de zerar,MED01238
EN - Inglês,Centros-de-custo devem ter locais abastecedores definidos,MED01237
EN - Inglês,Este local ainda está definido como abastecedor dos locais %1,MED01236
EN - Inglês,EmTransito,MED01235
EN - Inglês,Transporte,MED01234
EN - Inglês,Este local possui registros de estoque,MED01233
EN - Inglês,Este local possui ajustes ou consumos,MED01232
EN - Inglês,Este local possui Entradas,MED01231
EN - Inglês,Este local é solicitante de transferências,MED01230
EN - Inglês,Impossível excluir,MED01229
EN - Inglês,Este local é abastecedor de transferências,MED01228
EN - Inglês,Nenhuma das autorizações tem erro 02 - Local não existe no cadastro.,MED01227
EN - Inglês,Local não existe no cadastro,MED01226
EN - Inglês,Nenhuma das autorizações tem erro 01 - Produto não existe no cadastro.,MED01225
EN - Inglês,Produto não existe no cadastro,MED01224
EN - Inglês,Pesquisa finalizada,MED01223
EN - Inglês,E-mail enviado com sucesso para %1,MED01222
EN - Inglês,"Atenção, foi encontrado produto com estoque negativo no sistema. Abaixo segue o detalhamento.",MED01221
EN - Inglês,Alerta de Monitoramento do Sistema (%1): estoque negativo encontrado!,MED01220
EN - Inglês,"No cadastro do local, verifique se o local foi cadastrado corretamente como Almoxarifado ou Farmacia",MED01219
EN - Inglês,Item Cancelado,MED01218
EN - Inglês,Item Rejeitado,MED01217
EN - Inglês,Item '%1' não autorizado para a localidade '%2' para essa operação,MED01216
EN - Inglês,Item '%1' já incluído em outra linha desta solicitação (Seq. = %2),MED01215
EN - Inglês,Item '%1' inexistente,MED01214
EN - Inglês,Essa solicitação já foi processada e não é possível inserir produtos,MED01213
EN - Inglês,Usuário,MED01212
EN - Inglês,Data,MED01211
EN - Inglês,Motivo,MED01210
EN - Inglês,Item/Documento,MED01209
EN - Inglês,Ação,MED01208
EN - Inglês,Documento Cancelado,MED01207
EN - Inglês,Documento Rejeitado,MED01206
EN - Inglês,Solicitação cancelada com sucesso,MED01205
EN - Inglês,Solicitação rejeitada com sucesso,MED01204
EN - Inglês,Por favor insira o motivo da rejeição da solicitação,MED01203
EN - Inglês,Por favor insira o motivo do cancelamento da solicitação,MED01202
EN - Inglês,Itens cancelados com sucesso,MED01201
