Form Name,Form Header or Image File  ,Font Color,Execute After Data Record Deletion  
AEPAPDocActionComnt,Workflow Document Action Comment,,
AEPAPInbox,Document Inbox,,
AEPAPOutbox,Document Outbox,,
AEPBusinessPanel,Buyer Business Panel,,
AEPBusinessPanelBuyer,AEP Business Panel,,
AEPBusinessPanelEditOffer,Search for Purchase Offers In Preparation,,
AEPCATCatalog,Catalog Edition,,
AEPCATSearchProduct,Search Product,,
AEPCATViewCatalog,Detalhes do Catálogo,,
AEPCATViewItem,Product Details,,
AEPCOMEventCreation,Copy COM Events,,
AEPCOMEventRemoval,Remove Site COM Events,,
AEPCompareOffers,Compare Offers,,
AEPCreatePR,Create New Purchase Requisitions,8 - black,
AEPErrView,Error View,,
AEPEventCopy,Copy AEP Event,,
AEPFinalMappingAggreg,Select the Purchase Requisition Line Items,8 - black,
AEPFlowchartBuyer,,,
AEPFrank2,,,
AEPFrankTeste,Frank Teste,,
AEPNegRAMoveToRFQ,Move to another RFQ,,
AEPNegReverseAuction,Reverse Auction Main Form,8 - black,
AEPOfferSortFilterGroup,"Offer Sorting, Filtering and Grouping",,
AEPPRLineSortFilterGroup,"Requisition Line Item Sorting, Filtering and Grouping",,
AEPPRSortFilterGroup,"Requisition Sorting, Filtering and Grouping",,
AEPRABidders,AEPRABidders,,
AEPRADPERoom,AEPRADPERoom,,
AEPRALotByStatus,Lot By Status,,
AEPRARFQByStatus,RFQ By Status,,
AEPRARFQChoose,Create/Select RFQ,,
AEPSBPTeste,Supplier Business Panel Teste,,
AEPSBPTeste2,Supplier Business Panel,,
AEPSearchCustomerOrder,,,
AEPSearchPurchaseOrder,,,
AEPSearchRequisition,,,
AEPSellerBusinessPanel,Supplier Business Panel,,
AEPSupplierSelection,Supplier Selection,,
AEPTESTE,,,
AEPTestCatalogItemUI,Test View Catalog,,
AEPTestCatalogUI,Test View Catalog,,
AEPTestMenu,Test for Menu,,
BUINDASHBOARD,Dashboard  ,,
COMBuild,AlphaLinc Suite Builder,,
COMDCMDisplayQueue,Display Event Queue,,
COMDCMRunManager,,,
COMDCMStampLocation,Setup Events based upon a Template,,
COMDesignDoc,System Structure Documentation,,
COMHCResultShow,Health Check Result,,
COMHCResultShowR,Health Check Result,,
COMHCResultShowSFD,Health Check Result,,
COMHCResultShowTFDS,Health Check Result,,
COMHelpText,Help Text,,
COMHousekeeping,System Housekeeping,8 - black,
COMINTQUESTMF,Quest Masterfile Update,,
COMINTQUESTTRANS,Quest Transaction Integration,,
COMScheduleSetup,Schedule Setup,,
COMSwatch,,,
COMTAXLoad,Tax File Load,,
COMUPGDetail,Upgrade Handler - Component Selection,,
COMUPGHeader,Upgrade Handler,,
COMViewSearch,Search,,
CSTMatrixAudit,,,
CSTMatrixStart,Account Identification Matrix,,
DISCLOYALTYSEAR,Search Loyalty Setups,,
FINAPFCAdjust,Foreign Currency Adjustment,,
FINAPInvLineVariance,,,
FINAPInvLineVariance2,,,
FINAPInvLineVariance3,,,
FINAPInvPost,Invoice Match Posting,,
FINAPNettWithAR,Nett AP with AR,,
FINAPNettWithARManual,Manually Nett AP with AR,,
FINAPPaymentCopy,Copy Supplier Payment,,
FINAPUserSessionDate,User Session Date,,
FINAPVoucherCopy,Copy Supplier Voucher,,
FINAPVoucherLoad,Voucher Loading,,
FINFunctionCalls,Function Calls,,
FINGLAccountBalance,Account Child Balances,,
FINGLBS,Balance Sheet,,
FINGLBankReconOutstanding,Show Bank Account Status,,
FINGLBankReconShowMatch,Bank Reconciliation Match Show,,
FINGLFCAdjust,Foreign Currency Adjustment,,
FINGLPL,Profit And Loss,,
FINGLProfileCodeCopy,Profile Code Location Copy,,
FINHealthCheck,HealthCheck,,
FINHelpText,Show Help Text,,
FININT,Interface Status,,
FININTBatchListing,Interface Batch Listing,,
FINInvGroupSearch,Invoice Group Post,,
FINSYSParameter,Application and System Parameter Links,,
FINSYSStructure,Financial Database Structure,,
INAB,Print Order Confirmations,,
INAB1,Print Order Confirmations,,
INANFRAGE2,Create Order From Quote,,
INANGANF,Print Inquiries,,
INANGANF1,Enter Supplies ,,
INANGANZ,Edit Quotations/Requests  ,,
INANGARTSUCH,Search For Items  ,,
INANGAUF,Create Order from Supply,,
INANGBANZ,Edit Open Offers/Inquiries,,
INANGBOT1,Process Supplies ,,
INANGBRIEF,Create Manual Letters,,
INANGEBOT1,Process Supplies,,
INANGGOEIMPORT,Get Data From Preliminary Cost  ,,
INANGGOENACHFD,Print Automatic Inquiries  ,,
INANGGOENEU,Edit Offers,8 - black,
INANGGOEPCOPY,Copy Offer Item  ,,
INANGGOETEILIM,Take Data From Preliminary Cost  ,,
INANGGOEWERKIM,Take Data From Preliminary Cost  ,,
INANGKALK,Quote Calculation,,
INANGKDLIST,List All Open Offers  ,,
INANGNEU,Create New Offer/Inquiry,8 - black,
INANGREFSTA,Print Rejected Offers  ,,
INANGSORTI,Categories  ,8 - black,
INANGSUCH1,Search For Offers/Quotations  ,,
INARTBIS,List Of Invalid Prices,,
INARTCOPY,Copy Complete Item  ,,
INARTCOPY1,,,
INARTCOPYOK,Items are Copied  ,,
INARTEINHEIT,Modify Unit of Measure,,
INARTEXSTAMM,Export Items From Item Master Data,,
INARTHISTANZ,Print Item History  ,,
INARTIKEL,,,
INARTLIST,Print Item Part List,,
INARTLST1,Print Item Master Data,,
INARTOHNE,Item Level without Productions Cost,,
INARTOHNEVK,Item Without Sales Price  ,,
INARTPREISBEPROM1,Select Items for Promotion,8 - black,
INARTPREISKO,Control Statistics for Item Prices  ,,
INARTPREISLOG1,Print Item Price Protocol ,,
INARTPREISLOGEK,Show Item Cost Protocol,,
INARTPREISLOGEKVK,Show Item Cost and Sales Protocol,,
INARTPREISLOGVK,Show Item Sales Price Protocol,,
INARTSERIE,Serial Number Control,,
INARTSTAT,Item Values according to Quantity in Orders ,,
INARTVERTRS,Items Per Group Of Sales Representatives,8 - black,
INARTVORK,Cost Calculation Scenario  ,,
INATP,Display ATP (Available to Promise),8 - black,
INAUFAN,Print Offers,,
INAUFARTSUCH,Search For Items  ,,
INAUFAV,Print Delivery Advice,,
INAUFBANZ,Edit Open Orders/Demands/Supplies  ,,
INAUFBER,Print Pick List,,
INAUFBEREDIT,Print Pick List,,
INAUFBEREDIT1,Sourcing,,
INAUFBES,Print Orders,,
INAUFBRIEF,Create Manual Letters ,,
INAUFCHECK,Invioce Check To Customers Orders ,,
INAUFDRUCK,Print Order Information  ,,
INAUFE,Self Jobs,,
INAUFGRT,Create Order from Supply,,
INAUFInvReprint,Invoice Re-Printing,,
INAUFKL,Print Order Labels  ,,
INAUFL,Supplier Job,,
INAUFLEIH,Return From Rent Delivery  ,,
INAUFLFAVIS,Enter Shipping Acknowledgements,8 - black,
INAUFLI,Print Delivery Notes,,
INAUFLI1,Process Open Jobs ,8 - black,
INAUFNEU,Create New Orders,8 - black,
INAUFPCLOSE,Close Manual Order,,
INAUFPL,Acknowledge Distribution,,
INAUFPL1,Print Delivery Confirmations/Acknowledgements  ,8 - black,
INAUFPNEU,Add Extra Line Items,,
INAUFPREISLOG1,Order Price/Cost Protocol,,
INAUFPTSN,Line Item Part Serial No. Allocation  ,,
INAUFPTT,,8 - black,
INAUFRELEASE,Release Purchase Order Each Supplier,,
INAUFRELEASEORDER,Release Orders,,
INAUFSLIST,Print Item Part List for Orders,,
INAUFSLIST1,Edit Cost Of Item Parts  ,,
INAUFSORTI,Categories    ,8 - black,
INAUFSPERR,Release Orders  ,,
INAUFSPLIT,Part Shipment Line Item  ,,
INAUFSUCH1,Search For Orders  ,,
INAUFTOM1,Dispatch Planning ,,
INAUFWH,Determine Goods Origin ,,
INBACKJOBS,Summary Background Jobs  ,,
INBAR,Print Item Barcode,8 - black,
INBDE1,Import Electronic Time Stamps,,
INBERECHNUNG,Calculation,,
INBESTANZ,Display Inventory Per Item  ,,
INBESTANZ2,Show Quantity On Hand  ,,
INBESTANZL,Display Items at Location   ,,
INBESTANZL1,Display Items Location   ,,
INBESTANZPDA,Show Stock Location on PDA,,
INBESTLIST1,Inventory List  ,,
INBESTMONAT2,Start Quantity Value Calculation,,
INBESTNULL,Stock Location Without Stock,,
INBESTRUECK,Return Deliveries To Supplier,,
INBESTSALES,Item Quantity Overview  ,,
INBMECAT,Export Item Master Via BMEcat,,
INBMEINVCHECK,Process Incoming Invoices BME,,
INBMELIEFCATIM,Transfer Imported Item Records ,,
INBONKULI,Customers Discount List Per Supplier,,
INBRIEFKUND,Customer Serial Letters,,
INBRIEFLIEF,Supplier Serial Letter,,
INCALL0,Buttons,8 - black,
INCALL2,Print Task List,8 - black,
INCALLBRIEF,Create Manual Letters ,,
INCALLD,Search For Service Jobs,,
INCALLD1,Print Service Documentation,,
INCALLKOSTLIST,Service Cost List  ,,
INCALLPTKS,Start Change Protocol Routine,,
INCALLS,Enter New Service,,
INCALLST,Statistics ,,
INCATALOGITEM,Edit Misc. Line Items ,,
INCHARGEN,Search For Lot No.  ,,
INCHARGENAUF,Batch Number In Orders  ,,
INCONTAINEREINAUS,Container In and Out,,
INCONTAINERL,Print Container Lists  ,,
INCRMFORECAST,Pre-calculation For Expected Orders  ,,
INCRMSYSK,ABC Turnover Analysis    ,,
INCRMSYSK1,CRM  ,,
INDASHBOARD,Dashboard,,
INDATR,Create Debtor Export File,,
INDATRL,Create Direct Debit Bank File,,
INDCMDataLoad,Data Loading  ,,
INDISPATCHCHART,Route Planning,,
INDISPATCHPLAN1,Start Traffic Planning ,,
INDMLIST,Document List  ,8 - black,
INDMSMAHN,Print Due Reminders  (Dunnings),,
INDMSSEND,Export EDI Data  ,,
